id,name,slug,url_produit,first_token,slug_first_token,reason,reason_detail,description_excerpt
356325,Balance Tensiometre KH 8097,,,balance,,sans_slug_beautymall,,Exported using BoatScrape
356258,Elancyl Slim Design Huile Minceur 2en1 150ml,elancyl-slim-design-huile-minceur-2en1-150ml,https://beautymall.ma/product/elancyl-slim-design-huile-minceur-2en1-150ml/,elancyl,elancyl,slug_suggere_marque_hors_dict,elancyl (4 produits),L’Huile Linceur Slim Design du laboratoire Elancyl est conçue pour lutter efficacement contre la cellulite et les vergetures. Grâce à sa formule à base de Caféi
356251,Vitae Immunovita 15 gelules,vitae-immunovita-15-gelules,https://beautymall.ma/product/vitae-immunovita-15-gelules/,vitae,vitae,premier_mot_tres_rare,vitae (1 produit(s)),"Immunovita de Vitae est un complément alimentaire qui, grâce à sa formule à base de bêta-glucanes de pointe, contribue au fonctionnement normal du système immun"
355899,BioMin F Reapire & Protege 75ml,,,biomin,,entites_html_dans_nom,biomin,Exported using BoatScrape
355897,BioMin F Repair Travel 18ml,,,biomin,,sans_slug_beautymall,,La technologie unique derrière le dentifrice BioMin™ F offre une teneur en fluor INFÉRIEURE avec des performances LONGUE DURÉE (jusqu’à 12 heures). La nouvelle 
355788,Boolt Collagen 20 Tablets  500mg,boolt-collagen-20-tablets-500mg,https://beautymall.ma/product/boolt-collagen-20-tablets-500mg/,boolt,boolt,premier_mot_tres_rare,boolt (1 produit(s)),Boolt Collagen 20 Tablets 500mg est un complément alimentaire formulé à base de collagène dosé à 500 mg par comprimé. Il contribue au maintien de l’élasticité e
355780,Pharco Coton Hydrophile 25g,,,pharco,,sans_slug_beautymall,,Exported using BoatScrape
355703,Mgd Berberine 90 Gelules,mgd-berberine-90-gelules,https://beautymall.ma/product/mgd-berberine-90-gelules/,mgd,mgd,premier_mot_generique,mgd,"Mgd Berberine 90 Gelules est un complément alimentaire formulé à base de berbérine, un actif reconnu pour son rôle dans le soutien du métabolisme des glucides e"
355684,Viola Akoyamer Gommage Doux a La Figue Fe Barbarie 150ml,,,viola,,sans_slug_beautymall,,Exported using BoatScrape
355676,Sundovit Vitamin D3 200IU 30 Comprimes,sundovit-vitamin-d3-200iu-30-comprimes,https://beautymall.ma/product/sundovit-vitamin-d3-200iu-30-comprimes/,sundovit,sundovit,premier_mot_tres_rare,sundovit (1 produit(s)),Sundovit Vitamin D3 200IU 30 Comprimes est un complément alimentaire conçu pour compléter les apports quotidiens en vitamine D. Essentielle au bon fonctionnemen
355678,Sylaplaie Pansement Adhesif Sterile 15cm X 10cm,,,sylaplaie,,sans_slug_beautymall,,Exported using BoatScrape
355665,Andromede Brosse en bois Bambou,,,andromede,,sans_slug_beautymall,,Exported using BoatScrape
355605,Pregnatonic Boite 30 Gelules,pregnatonic-boite-30-gelules,https://beautymall.ma/product/pregnatonic-boite-30-gelules/,pregnatonic,pregnatonic,premier_mot_tres_rare,pregnatonic (1 produit(s)),"Ce complément alimentaire, composé de micronutriments essentiels au bon déroulement de la grossesse et au bon développement du fœtus, est conçu spécialement pou"
355246,MGD Gelinseng 20 ampoules,mgd-gelinseng-20-ampoules,https://beautymall.ma/product/mgd-gelinseng-20-ampoules/,mgd,mgd,premier_mot_generique,mgd,"MGD Gelinseng 20 ampoules formulées à base de ginseng, reconnu pour ses propriétés énergisantes et revitalisantes. Il aide à lutter contre la fatigue passagère,"
354670,Masque Lavable Pack De 7Pieces,,,masque,,sans_slug_beautymall,,Masque Lavable Pack De 7Pieces Exported using BoatScrape
